번호,보드게임명 (한글/영문),이용 연령,권장/지원 인원,주요 메커니즘 (Mechanisms),장르 / 카테고리
1,가방가! (Packesel),만 5세+,2~4인,"균형 잡기, 물리적 적재",덱스터리티 / 키즈 / 파티
2,간장공장공장장,만 8세+,2~6인,"잰말놀이, 스피드 발음, 실시간 반응",파티 / 어휘 / 순발력
3,구룡투 (九龍鬪 / Nine Dragon Fight),만 8세+,2인 전용,"블라인드 비딩, 숫자 수 싸움, 심리전",2인 추상 전략 / 심리 대전
4,구십구 콤팩트: 토이 스토리 (사은품),만 6세+,2~6인,"퀴즈 배제, 베팅, 트리비아",파티 / 가족 / 퀴즈
5,그것이 문제로다 (That's a Question!),만 10세+,4~10인,"다수결 투표, 딜레마 질문, 성향 파악",소셜 / 파티 / 대화
6,꼬꼬미너 (Pick Picknick / Zoch),만 4세+,2~4인,"메모리, 동시 카드 선택, 이동",키즈 / 가족 / 기억력
7,꼼짝마! (Motley West),만 8세+,3~6인,"동시 액션 선택, 블러핑, 총격 심리전",파티 / 블러핑
8,나 혼자 살아남기: 좀비 편,만 8세+,2~4인,"핸드 관리, 테이크 댓 (Take That), 탈락 요소",생존 카드 / 파티
9,나나 (NANA),만 6세+,2~5인,"메모리, 핸드 추리, 셋 컬렉션",카드 / 메모리 / 필러
10,노땡스! (No Thanks!),만 8세+,3~7인,"푸시 유어 럭, 칩 비딩, 셋 컬렉션",경매 / 푸시 유어 럭 / 카드
11,노터치 크라켄 디럭스 (No Touch Kraken),만 14세+,4~8인,"히든 롤(마피아), 블러핑, 확률 추리, 팀전",소셜 디덕션 / 블러핑
12,다빈치 코드 (Da Vinci Code),만 8세+,2~4인,"숫자 코드 추리, 비밀 정보 연역",추리 / 숫자 퍼즐
13,다잉 메시지 (Dying Message),만 15세+,4~15인,"단서 제공 추리, 마피아, 소셜 디덕션",소셜 디덕션 / 미스터리 추리
14,달무티 (The Great Dalmuti),만 8세+,4~8인,"클라이밍 / 셰딩 (손패 털기), 계급 핸디캡",파티 / 카드 / 클라이밍
15,도적단의 보물창고 (도적단의 황금방),만 7세+,2~5인,"푸시 유어 럭, 메모리, 핸드 관리",가족 / 메모리
16,드렉사우 디럭스 (Dreck-Sau Deluxe),만 7세+,2~4인,"핸드 관리, 테이크 댓, 공격 및 방어",파티 / 캐주얼 카드
17,두더지 땅굴탈출 (Plumpsack 계열),만 6세+,2~5인,"기억력, 패턴 일치, 스피드 반응",키즈 / 순발력
18,라쿠카라차 (La Cucaracha),만 6세+,2~4인,"실시간 주사위 굴림, 미로 조작",덱스터리티 / 가족
19,로보77 (Lobo 77),만 8세+,2~8인,"덧셈 연산, 손패 털기, 배수 회피 탈락",수학 교육 / 파티 카드
20,로스트 시티 (Lost Cities),만 10세+,2인 전용,"핸드 관리, 오름차순 투자, 푸시 유어 럭",2인 카드 전략
21,루미큐브 XXL (Rummikub XXL),만 7세+,2~4인,"타일 배치, 숫자 세트 조합, 손패 털기",가족 / 타일 조합 퍼즐
22,루핑루이 (Looping Louie),만 4세+,2~4인,"모터 비행기 쳐내기, 실시간 덱스터리티",액션 / 덱스터리티 / 파티
